name,link,num_nodes,num_edges,services,goals
Airbnb: Securing MultiTenant Kubernetes Clusters at Scale,https://www.youtube.com/watch?v=WS2Qgx0qgCM,6,8,"EC2,OpenSearch,STS,CloudTrail,IAM",control
Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,https://www.youtube.com/watch?v=AzM_d7ZvzUE,11,20,"DynamoDB,Glue,Firehose,Athena,Aurora,S3,Lambda,Kinesis",data_ingestion
Intuit: Serving 7 Million Customers Using Amazon Connect,https://www.youtube.com/watch?v=6LcSv9XocTY,11,18,"ThirdParty,Firehose,Transcribe,Connect,Comprehend,Athena,UserConsumerWeb,S3,Lambda","data_ingestion,interactive"
Hexagon HxDR: Cloud-Based Visualization of Spatial Data,https://www.youtube.com/watch?v=3yJZ6rPoZfg,7,9,"VPC,UserConsumerEdge,EC2,SQS,S3,EKS",compute_intensive
TRI-AD: Large-Scale and High-Performance Distributed Training Platform,https://www.youtube.com/watch?v=JRDGId6N49E,6,3,"ThirdParty,EC2,ServiceCatalog,CloudFormation,S3",compute_intensive
Hudl: Ingesting and Transcoding Video Data Using AWS,https://www.youtube.com/watch?v=KgRib8AM0fs,7,8,"UserConsumerEdge,EC2,UserConsumerWebMobile,SQS,S3,Lambda,CloudWatch",compute_intensive
Homegate AG: A Serverless Real Estate Platform,https://www.youtube.com/watch?v=eEfWd4EgH_s,10,10,"StepFunctions,DynamoDB,ApiGateway,Lambda,CloudWatch,SNS,UserCompanyDataStream",data_ingestion
Syntax: Extract and Leverage SAP Data with AWS Services,https://www.youtube.com/watch?v=YV8e36ZywLk,5,4,"ThirdParty,KinesisDataStream,S3,Lambda,SNS",other
Nasuni: Building a Global File Lock Service on AWS,https://www.youtube.com/watch?v=_vjB_vF4Uec,6,9,"UserConsumerEdge,DynamoDB,EC2,ELB,Lambda,Route53",interactive
Marathon Oil: Automating Drone Image Processing to Monitor Equipment Health,https://www.youtube.com/watch?v=ww5fiygF6eg,10,20,"StepFunctions,ThirdParty,UserCompanyDrone,StorageGateway,S3,Lambda,CloudWatch","data_ingestion,interactive"
Swiss Post Ltd: Security and Compliance of AWS Accounts at Scale German,https://www.youtube.com/watch?v=a1sEfGVDpEQ,10,13,"StepFunctions,ThirdParty,Firehose,GuardDuty,SecurityHub,S3,Lambda",data_ingestion
Aramex: Leveraging AI ML to Enhance Customer Experience,https://www.youtube.com/watch?v=JVcKidzqpYY,9,13,"DynamoDB,RedShift,Glue,ApiGateway,UserConsumerMobile,S3,SageMaker,Lambda,UserCompanyDataStream","data_ingestion,interactive"
"SoftChef: Building AWS Iot Application Using an Innovative, Fully Serverless Architecture (Mandarin)",https://www.youtube.com/watch?v=FHdtOtznWuA,10,18,"IoTCore,UserConsumerEdge,DynamoDB,CloudFormation,UserConsumerWebMobile,ApiGateway,Greengrass,Cognito,Lambda,ServerlessApplicationRepository",control
Fugue: Staying in Compliance by Automating Drift Detection,https://www.youtube.com/watch?v=Gds8hl8dKuo,8,12,"DynamoDB,EC2,UserCompanyAgent,KMS,SQS,S3,SNS",control
SonarSource: Automatic Code Analysis in the Cloud with AWS,https://www.youtube.com/watch?v=u3ZwnulzLnU,8,13,"Fargate,ThirdParty,EC2,SQS,Aurora,Lambda,UserCompanyDeveloper",data_ingestion
OLX Autos: Building Developer Platform for Rapid Global Expansion,https://www.youtube.com/watch?v=1aYoIZvabbk,6,5,"ALB,SQS,UserCompanyDeveloper,EKS,SNS,Route53",control
Datacoral: Using Serverless to Create Data Pipelines,https://www.youtube.com/watch?v=JiWHomdh1oI,7,11,"DynamoDB,RedShift,Lambda,S3,UserCompanyDataStream",data_ingestion
DBS Bank: Architecting Quant Pricing Engine for Performance with Amazon ElastiCache,https://www.youtube.com/watch?v=bqZWYmRAka0,5,5,"ThirdParty,UserConsumerAPI,ElastiCache,ALB,ECS",compute_intensive
Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly,https://www.youtube.com/watch?v=c-1GXhOOOww,9,16,"UserConsumerAPI,DynamoDB,ThirdParty,Lambda,SQS,ApiGateway,UserConsumerMobile,S3,AppSync",interactive
Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),https://www.youtube.com/watch?v=7dtomip_VXc,8,11,"AutoScaling,ElastiCache,ALB,ECS,UserConsumerMobile,Aurora,Lambda,CloudWatch",interactive
CEPSA: Finding the Best Internal Talent Using Amazon Neptune Spanish,https://www.youtube.com/watch?v=FftalZUxyiM,9,14,"StepFunctions,DynamoDB,Neptune,UserConsumerWeb,ApiGateway,S3,Lambda",data_ingestion
Klika Tech and Stonehenge: Smart Apartments with Alexa  AWS IoT Special Episode,https://www.youtube.com/watch?v=XgJUsBDQILQ,9,8,"IoTCore,DynamoDB,OpenSearch,QuickSight,IoTAnalytics,Lambda,AlexaForBusiness,RDS,UserConsumerIOT",data_ingestion
JFrog: Distribute Software Artifacts securely using SaaS Solutions,https://www.youtube.com/watch?v=nvhG60gFbso,13,16,"VPC,ThirdParty,NLB,EC2,PrivateLink,TransitGateway,S3,DirectConnect,EKS,RDS",interactive
Smadex: Serving Billions of Ads with Amazon ElastiCache for Redis (Spanish),https://www.youtube.com/watch?v=l0mvXogANE4,8,14,"ElastiCache,EC2,Athena,UserConsumerWeb,SQS,S3,Lambda","data_ingestion,interactive"
Next Caller: Phone Caller Fraud Detection with AWS Sagemaker,https://www.youtube.com/watch?v=K27WjYwyqw8,8,11,"DynamoDB,SQS,ApiGateway,UserConsumerMobile,SageMaker,S3,Lambda",interactive
Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,https://www.youtube.com/watch?v=G07keU4g-LU,10,21,"ThirdParty,RedShift,UserCompanyAnalyst,UserConsumerPOS,DMS,EMR,Athena,UserConsumerMobile,S3",data_ingestion
AWS Solutions:  AI Powered Speech Analytics for Amazon Connect,https://www.youtube.com/watch?v=kD57QUn5myc,10,12,"DynamoDB,UserCompanyAgent,Transcribe,Connect,Comprehend,UserConsumerMobile,S3,Lambda,Kinesis,Translate",other
Depop: RealTime Data Ingestion and Analysis,https://www.youtube.com/watch?v=pwxhclKcMas,10,13,"Glue,UserCompanyAPI,EMR,Athena,S3,Lambda,Kinesis","data_ingestion,compute_intensive"
FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,https://www.youtube.com/watch?v=3WgTBTDlQN8,9,14,"RedShift,UserCompanyAPI,EC2,EMR,ApiGateway,UserConsumerMobile,S3,Lambda,CloudWatch","data_ingestion,interactive"
ZS Associates: Building a SelfService Enterprise Data Engineering Platform,https://www.youtube.com/watch?v=JG5p-i8Cr2E,11,24,"Glue,EC2,IAM,EMR,SQS,SES,S3,EKS,RDS,UserCompanyDeveloper",control
Voodoo: Perform Recommendations Using Machine Learning (French),https://www.youtube.com/watch?v=G5tNCpmD2uQ,9,12,"DynamoDB,EC2,EMR,ALB,UserConsumerMobile,SageMaker,S3,ECS",interactive
Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,https://www.youtube.com/watch?v=INog0_9tCtY,14,19,"VPC,ThirdParty,EC2,OpenSearch,UserCompanyAnalyst,CloudTrail,EMR,Athena,S3,SageMaker",data_ingestion
Healthfirst: Wrangling Data the Event Driven Way,https://www.youtube.com/watch?v=XpFNznmRoQ0,12,16,"StepFunctions,RedShift,Glue,Lambda,CloudFormation,SQS,S3,SageMaker,UserCompanyDataStream",data_ingestion
Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,https://www.youtube.com/watch?v=az-C2c33trQ,8,17,"ThirdParty,RedShift,UserConsumerWeb,S3,EKS,RDS",data_ingestion
HubSpot: Task Queueing System Built on top of Amazon SQS,https://www.youtube.com/watch?v=aOY6YCpcjz8,11,14,"SQS,ThirdParty,UserCompanyAPI,EC2",compute_intensive
Capillary Technologies: Building an OmniChannel Data Ingestion Platform,https://www.youtube.com/watch?v=KywvGM6HVXI,11,22,"DynamoDB,EC2,ALB,UserConsumerWeb,ApiGateway,SQS,Lambda,Kinesis,UserCompanyDeveloper",data_ingestion
Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,https://www.youtube.com/watch?v=F4KDOGNpSoI,14,19,"DynamoDB,Glue,CloudFront,Firehose,LambdaAtEdge,Athena,ApiGateway,UserConsumerMobile,S3,Lambda,RDS,UserCompanyDeveloper","data_ingestion,interactive"
Wix: Serverless Platform for End-to-End Browser Testing using Chromium on AWS Lambda,https://www.youtube.com/watch?v=hbz63Ve-eIY,6,13,"DynamoDB,CloudWatch,S3,Lambda,Cognito,UserCompanyDeveloper",control
Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,https://www.youtube.com/watch?v=unFVfqj9cQ8,8,7,"Timestream,CodePipeline,DynamoDB,SystemsManager,Grafana,ControlTower,EventBridge,Lambda",data_ingestion
BookMyShow: How BMS Scaled Data Analytics to Handle 28M Ticket Sales with Modern Data Architecture,https://www.youtube.com/watch?v=RU__HBEMDvQ,9,10,"StepFunctions,RedShift,Glue,UserCompanyAnalyst,QuickSight,EMR,S3,SageMaker,UserCompanyDataStream",data_ingestion
CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,https://www.youtube.com/watch?v=6EUknQqaV1w,9,11,"ThirdParty,DynamoDB,OpenSearch,Neptune,KinesisDataStream,UserCompanyDataStream,CloudWatch",data_ingestion
Carbon by Indigo: Carbon Credits for Regenerative Agriculture,https://www.youtube.com/watch?v=FfSNnH2bbNc,8,19,"Fargate,ElastiCache,EC2,UserConsumerWeb,S3,UserConsumerSatellite,Lambda,RDS","data_ingestion,interactive"
ZS Associates: Intelligent Process Automation Using AWS AI Services,https://www.youtube.com/watch?v=mq3XuoN0rUM,9,13,"Polly,ThirdParty,EC2,VPCPeering,Transcribe,Comprehend,S3,RDS,UserCompanyDeveloper",compute_intensive
SynchroNet: Extending User Automation and Amazon WorkSpaces Provisioning with AWS Step Functions,https://www.youtube.com/watch?v=Q6r_QbYXFpg,11,9,"StepFunctions,ThirdParty,WorkSpaces,SQS,ApiGateway,S3,Lambda,Cognito,RDS",other
Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,https://www.youtube.com/watch?v=Yju3yReAQtc,7,7,"DynamoDB,CloudFront,OpenSearch,ApiGateway,S3,Lambda,UserCompanyInternalPlatform",interactive
Property Finder: Running Production Workloads with Amazon EKS on 100% Amazon EC2 Spot Instances,https://www.youtube.com/watch?v=cnZeOytEkIM,6,6,"EC2,ALB,UserConsumerWeb,EventBridge,Lambda,EKS",interactive
L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,https://www.youtube.com/watch?v=DrkaU99l9S8,12,13,"IoTCore,UserConsumerEdge,ThirdParty,QuickSight,UserConsumerWeb,SageMaker,S3,Lambda,Kinesis,IoTAnalytics",data_ingestion
