name,link,stores
Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,https://www.youtube.com/watch?v=AzM_d7ZvzUE,"Kinesis,DynamoDB,Aurora,S3"
Aramex: Leveraging AI ML to Enhance Customer Experience,https://www.youtube.com/watch?v=JVcKidzqpYY,"DynamoDB,RedShift,S3"
Datacoral: Using Serverless to Create Data Pipelines,https://www.youtube.com/watch?v=JiWHomdh1oI,"DynamoDB,RedShift,S3"
CEPSA: Finding the Best Internal Talent Using Amazon Neptune Spanish,https://www.youtube.com/watch?v=FftalZUxyiM,"Neptune,DynamoDB,S3"
Klika Tech and Stonehenge: Smart Apartments with Alexa  AWS IoT Special Episode,https://www.youtube.com/watch?v=XgJUsBDQILQ,"OpenSearch,QuickSight,DynamoDB,RDS"
AWS Solutions:  AI Powered Speech Analytics for Amazon Connect,https://www.youtube.com/watch?v=kD57QUn5myc,"Kinesis,DynamoDB,S3"
Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,https://www.youtube.com/watch?v=az-C2c33trQ,"RDS,RedShift,S3"
Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,https://www.youtube.com/watch?v=F4KDOGNpSoI,"DynamoDB,RDS,S3"
BookMyShow: How BMS Scaled Data Analytics to Handle 28M Ticket Sales with Modern Data Architecture,https://www.youtube.com/watch?v=RU__HBEMDvQ,"QuickSight,RedShift,S3"
CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,https://www.youtube.com/watch?v=6EUknQqaV1w,"KinesisDataStream,Neptune,DynamoDB,OpenSearch"
Carbon by Indigo: Carbon Credits for Regenerative Agriculture,https://www.youtube.com/watch?v=FfSNnH2bbNc,"ElastiCache,RDS,S3"
Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,https://www.youtube.com/watch?v=Yju3yReAQtc,"OpenSearch,DynamoDB,S3"
L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,https://www.youtube.com/watch?v=DrkaU99l9S8,"Kinesis,QuickSight,S3"
Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,https://www.youtube.com/watch?v=j9OZ-7aCAyA,"Neptune,DynamoDB,S3"
Novartis - Buying Engine: AI-powered Procurement Portal,https://www.youtube.com/watch?v=vp8oPiHN4cA,"DynamoDB,OpenSearch,Neptune,S3,Kinesis"
mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,https://www.youtube.com/watch?v=-S-R7MWRpaI,"Kinesis,DynamoDB,S3"
Snap: Journey of a Snap on Snapchat Using AWS,https://www.youtube.com/watch?v=Cgv0kfp_6xQ,"ElastiCache,DynamoDB,S3"
Delhivery: Building a Supply Chain Technology Platform for Speed  Network Optimization,https://www.youtube.com/watch?v=WZ4YL4Z177Q,"OpenSearch,Kinesis,RDS,S3"
Cation Consulting: How to Build a Scalable Chatbot and Deploy to Europe's Largest Airline,https://www.youtube.com/watch?v=dAQhNjwkOX8,"OpenSearch,QuickSight,RDS"
HP: Serverless Data Pipeline to Process Manufacturing Data From Assembly Lines in Near Real-Time,https://www.youtube.com/watch?v=KM5ONS2fnG0,"DynamoDB,OpenSearch,Aurora,S3,Kinesis"
Hancom: Building a Real-time Office Collaboration Service (Korean),https://www.youtube.com/watch?v=qgW8LQ8iBuA,"ElastiCache,Aurora,S3"
Bajaj Housing Finance Limited: Serverless Data Pipelines with AWS Glue and Amazon Aurora PGSQL,https://www.youtube.com/watch?v=uNAmsoLed1E,"RDS,Aurora,S3"
"Love, Bonito: Achieving Scalability Using Magento with Kubernetes",https://www.youtube.com/watch?v=BX1K8x1lVLc,"ElastiCache,Aurora,S3"
Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture Spanish,https://www.youtube.com/watch?v=J4vHfpL66Zk,"Kinesis,QuickSight,RedShift,S3"
Capgemini: Refactoring a Data Warehouse to Amazon Redshift,https://www.youtube.com/watch?v=5f3z1Z_9BJA,"RDS,RedShift,S3"
Imperva: Building Real-Time Streaming Data Pipelines Using Amazon MSK,https://www.youtube.com/watch?v=ccPhkyPm_3w,"OpenSearch,MSK,S3"
Taysols: Next Best Offer Recommendation System using Amazon SageMaker,https://www.youtube.com/watch?v=GJ1So_pbZWk,"DynamoDB,RedShift,S3,EFS"
AWS Solutions: RealTime IoT Device Monitoring with Kinesis Data Analytics,https://www.youtube.com/watch?v=uWUAcc68MWI,"DynamoDB,KinesisAnalytics,S3"
Temenos: Building Serverless Banking Software at Scale,https://www.youtube.com/watch?v=mtZvA7ARepM,"Kinesis,DynamoDB,RDS"
Go Global: Processing Tens of Different Event Types on a Generic Data Lake Architecture (Hebrew),https://www.youtube.com/watch?v=YiOTd6IfGoU,"OpenSearch,QuickSight,RedShift,S3"
Pirelli: Building a Data Platform at Scale,https://www.youtube.com/watch?v=cmYI6axlicc,"MSK,RedShift,Aurora,S3"
ResMed: Improving Patient Outcomes with Serverless at Scale,https://www.youtube.com/watch?v=kszaIJEnKPk,"Kinesis,DynamoDB,S3"
TechConnect: Tech Powered Sports with IoT  Machine Learning,https://www.youtube.com/watch?v=iSkWd31X7zo,"KinesisDataStream,DynamoDB,S3"
The Washington Post: Building a Content Management Platform with Speed at its Core,https://www.youtube.com/watch?v=0JxJpNjI9Y0,"DynamoDB,ElastiCache,S3"
Enel: Management and Analysis of Meters Data Italian,https://www.youtube.com/watch?v=illMCyp4O9A,"Kinesis,DynamoDB,RedShift,S3"
FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,https://www.youtube.com/watch?v=gpWR5JBC64A,"QuickSight,DynamoDB,S3,Kinesis"
Careem: Identity Based Fraud Detection Using Neptune and Neptune ML,https://www.youtube.com/watch?v=acm-HWJhEOA,"Neptune,RDS,S3"
Dentsu Tracking: Using Serverless to Power an EU Government Supply-Chain Control System,https://www.youtube.com/watch?v=rRvy5Fbei1s,"QuickSight,DynamoDB,RedShift,S3"
Sisense: Using Amazon EKS and FSx for Lustre for Multi-Source Data Ingestion and Presentation,https://www.youtube.com/watch?v=SxFag4CMWU8,"FSX,RDS,RedShift,S3"
Ashok Leyland: Running Telematics at Scale,https://www.youtube.com/watch?v=a59halVklMI,"MSK,RedShift,S3,RDS"
Aizon: Seamlessly Integrating Data to Deliver Actionable Insights in Highly Regulated Industries,https://www.youtube.com/watch?v=uhrheMJTV4A,"OpenSearch,Kinesis,DynamoDB,S3"
Triboo: Hosting Magento on Containers Italian,https://www.youtube.com/watch?v=6sew_hdI6cY,"ElastiCache,RedShift,OpenSearch,Aurora,S3,EFS"
Toyota Motor NA: Lake House Architecture for Data and Analytics,https://www.youtube.com/watch?v=Kp51k6LY-2c,"RDS,RedShift,S3"
Korean Airline: Data Warehouse Modernization on AWS Korean,https://www.youtube.com/watch?v=YosezjoL4MU,"RDS,RedShift,S3"
Majid Al Futtaim: Building a Custom Data Management Solution on AWS,https://www.youtube.com/watch?v=9qTEHITVeLE,"MSK,RDS,S3"
Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,https://www.youtube.com/watch?v=Wur1GWB03hk,"DynamoDB,RDS,S3"
Enoptea: PHP Layer for AWS Lambda French,https://www.youtube.com/watch?v=vb-o1DvvHxk,"ElastiCache,RDS,S3"
SBB Cargo: Data Collection and Processing with Serverless Analytics Services,https://www.youtube.com/watch?v=4-teOQ_dJvY,"Kinesis,DynamoDB,KinesisAnalytics"
Vizio: Smart TV Analytics at Scale,https://www.youtube.com/watch?v=BlCXEMp_lqY,"S3,Kinesis,RedShift,QuickSight"
